"","X__1"
"1","Wow that looks so nice! It actually looks really tropical! are you at Worthing atm?"
"2","Yeah it's so nice, and yes am there now! It is very sunny all the time for some reason, the house is actually nearer to Littlehampton than Worthing, but cycled to Worthing earlier! Since having this new phone I have got quite into Instagram (fun and vaguely arty!) so this image is a bit, shall we call it, enhanced. :-P"
"3","Think me and Charlie are going to go to Bromley before Comedy Store, you are welcome to join but really really no pressure with work and all!!"
"4","I am unemployed so have nothing better to do haha!"
"5","Sun!"
"6","Also I just turned on Peaky Blinders for the first time, I heard the F Word 5 times in 30 seconds, then turned it off. Hahaha"
"7","Elgar!"
"8","Haha I'm loving the fact that you are sending me the pictures of Birmingham in instalments! How's your week going!"
"9","Instalments are fun! Did you work out where in Birmingham your dad is from? Was shit, but had a meeting and am reinvigorated!! You ready for Sunday?"
"10","I don't know which is better.."
"11","Haha I like the second one better! Oh my goshhhh so much to do for Sri Lanka - I'm starting to panic a little bit! Haha."
"12","And my dad's from Perry Bar and Grape Bar...does that mean anything to you!?"
"13","Have heard of Perry Bar but other than that I have no idea hahaha! Yeah I prefer the second one! Not long till Sri Lanka now.. Get moving 😜"
"14","Messages to this chat and calls are now secured with end-to-end encryption. Tap for more info."
"15","Hola from Sri Lanka! I finally have wifi as at an airport at the moment waiting for flight home!! Haha how are you doing? How's Birmingham? Still enjoying PhD? Xxx"
"16","Welcome home!! (although it doesn't feel like home anymore after everything that's happened in the last month, wish I wasn't in the country and were removed from it all)! Oh screw me and my philosophy degree! How are you?! Was Sri Lanka amazing? Were the people nice? So much to tell I bet! Where in the country even were you? Did you fly back with Srilankan Airlines by the way? Xxx"
"17","Yes I flew with srilankan airlines and they were great - one of the best flights I've ever had! I was living in the south of the country near.l Colombo but had to travel around a lot - the country was beautiful! Oh my gosh I know - I can't believe what has happened over the last four weeks - I think I should have just stayed in Sri Lanka! So now we have an unelected prime minister, we are no longer in Europe and we have an idiot as foreign secretary....ummm!?! Haha wow has it turned out to be more philosophy than science!? So much to catch up on hope we can meet up at some point soon! Xxx"
